Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_RS,rSalVentAttnB_PFCmp_1,corrected,0.09534184,0.13534184,-1.673519335,0.068299181,290
UNIBA2_RS,rSomMotA_1,standard,0.04088414,0.08088414,-2.05403676,0.064409753,290
UNIBA2_RS,rSomMotA_1,corrected,0.04653877,0.08653877,-1.999330703,0.068272847,290
UNIBA2_RS,rSomMotA_2,standard,0.2718644,0.3118644,-1.100910849,0.064401218,290
UNIBA2_RS,rSomMotA_2,corrected,0.45952566,0.49952566,-0.74065109,0.068318268,290
UNIBA2_RS,rSomMotA_3,standard,0.19856433,0.23856433,-1.288651572,0.064408411,290
UNIBA2_RS,rSomMotA_3,corrected,0.33749058,0.37749058,-0.960782299,0.068277694,290
UNIBA2_RS,rSomMotA_4,standard,0.07450192,0.11450192,-1.79008362,0.064410399,290
UNIBA2_RS,rSomMotA_4,corrected,0.11263567,0.15263567,-1.591454414,0.068302302,290
UNIBA2_RS,rSomMotB_Aud_1,standard,0.08958155,0.12958155,-1.70340958,0.064400248,290
UNIBA2_RS,rSomMotB_Aud_1,corrected,0.17725731,0.21725731,-1.352654563,0.068310123,290
UNIBA2_RS,rSomMotB_Cent_1,standard,0.00846287,0.04846287,-2.651465042,0.064417217,290
UNIBA2_RS,rSomMotB_Cent_1,corrected,0.03494485,0.07494485,-2.119304082,0.06827713,290
UNIBA2_RS,rSomMotB_S2_1,standard,0.0930594,0.1330594,-1.685123189,0.064386984,290
UNIBA2_RS,rSomMotB_S2_1,corrected,0.3386421,0.3786421,-0.958491033,0.06823225,290
UNIBA2_RS,rSomMotB_S2_2,standard,0.00952981,0.04952981,-2.610108803,0.064403445,290
UNIBA2_RS,rSomMotB_S2_2,corrected,0.07501359,0.11501359,-1.787034253,0.068269536,290
UNIBA2_RS,rTempPar_1,standard,0.0036469,0.0436469,-2.931480743,0.064404312,290
UNIBA2_RS,rTempPar_1,corrected,0.01329991,0.05329991,-2.491488814,0.068272432,290
UNIBA2_RS,rTempPar_2,standard,0.00441703,0.04441703,-2.869636575,0.064398399,290
UNIBA2_RS,rTempPar_2,corrected,0.01382324,0.05382324,-2.477436963,0.06829639,290
UNIBA2_RS,rTempPar_3,standard,0.35225343,0.39225343,-0.931751801,0.064394831,290
UNIBA2_RS,rTempPar_3,corrected,0.50670242,0.54670242,-0.66483626,0.068287491,290
UNIBA2_RS,rVisCent_ExStr_1,standard,0.07743123,0.11743123,-1.772190737,0.064383589,290
UNIBA2_RS,rVisCent_ExStr_1,corrected,0.16537164,0.20537164,-1.390861825,0.068302975,290
UNIBA2_RS,rVisCent_ExStr_2,standard,0.28339394,0.32339394,-1.074753975,0.064386829,290
UNIBA2_RS,rVisCent_ExStr_2,corrected,0.6142992,0.6542992,-0.504510893,0.068184851,290
UNIBA2_RS,rVisCent_ExStr_3,standard,0.01374173,0.05374173,-2.479318002,0.064412875,290
UNIBA2_RS,rVisCent_ExStr_3,corrected,0.04418005,0.08418005,-2.021491789,0.068266416,290
UNIBA2_RS,rVisPeri_ExStrInf_1,standard,0.08283639,0.12283639,-1.740580636,0.064403796,290
UNIBA2_RS,rVisPeri_ExStrInf_1,corrected,0.10351026,0.14351026,-1.63339309,0.068262809,290
UNIBA2_RS,rVisPeri_ExStrSup_1,standard,0.00353625,0.04353625,-2.941330705,0.064392623,290
UNIBA2_RS,rVisPeri_ExStrSup_1,corrected,0.00569475,0.04569475,-2.786352547,0.068297172,290
UNIBA2_RS,rVisPeri_StriCal_1,standard,0.09810643,0.13810643,-1.659542581,0.06441534,290
UNIBA2_RS,rVisPeri_StriCal_1,corrected,0.21129999,0.25129999,-1.252865403,0.068243564,290
