Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,rSomMotA_2,corrected,0.976203191,0.997912684,0.029877493,0.183947124,165
UCLA_REST_BD_adj,rSomMotA_3,standard,0.978167994,0.997912684,0.027408601,0.178797668,165
UCLA_REST_BD_adj,rSomMotA_3,corrected,0.768371167,0.997912684,0.295022919,0.183947296,165
UCLA_REST_BD_adj,rSomMotA_4,standard,0.087949799,0.997912684,-1.716805772,0.178802836,165
UCLA_REST_BD_adj,rSomMotA_4,corrected,0.079608705,0.997912684,-1.764552347,0.183953099,165
UCLA_REST_BD_adj,rSomMotB_Aud_1,standard,0.752594376,0.997912684,0.315762387,0.178797853,165
UCLA_REST_BD_adj,rSomMotB_Aud_1,corrected,0.752290954,0.997912684,0.31618041,0.18394732,165
UCLA_REST_BD_adj,rSomMotB_Cent_1,standard,0.252490394,0.997912684,1.148465864,0.178799994,165
UCLA_REST_BD_adj,rSomMotB_Cent_1,corrected,0.186607054,0.997912684,1.326555104,0.183950512,165
UCLA_REST_BD_adj,rSomMotB_S2_1,standard,0.800737348,0.997912684,-0.25281285,0.178797791,165
UCLA_REST_BD_adj,rSomMotB_S2_1,corrected,0.933643993,0.997912684,-0.083396356,0.183947138,165
UCLA_REST_BD_adj,rSomMotB_S2_2,standard,0.360602574,0.997912684,0.916847258,0.178799156,165
UCLA_REST_BD_adj,rSomMotB_S2_2,corrected,0.328894867,0.997912684,0.979427822,0.183948975,165
UCLA_REST_BD_adj,rTempPar_1,standard,0.161784084,0.997912684,-1.405592214,0.178801143,165
UCLA_REST_BD_adj,rTempPar_1,corrected,0.150485773,0.997912684,-1.444966988,0.183951141,165
UCLA_REST_BD_adj,rTempPar_2,standard,0.965526337,0.997912684,-0.043287491,0.178797682,165
UCLA_REST_BD_adj,rTempPar_2,corrected,0.877742337,0.997912684,-0.15408604,0.18394717,165
UCLA_REST_BD_adj,rTempPar_3,standard,0.88304701,0.997912684,-0.147342732,0.178797716,165
UCLA_REST_BD_adj,rTempPar_3,corrected,0.831005915,0.997912684,-0.213771857,0.183947216,165
UCLA_REST_BD_adj,rVisCent_ExStr_1,standard,0.976322649,0.997912684,-0.029725967,0.178797684,165
UCLA_REST_BD_adj,rVisCent_ExStr_1,corrected,0.814934709,0.997912684,-0.234463352,0.183947233,165
UCLA_REST_BD_adj,rVisCent_ExStr_2,standard,0.38254856,0.997912684,-0.875621292,0.178799026,165
UCLA_REST_BD_adj,rVisCent_ExStr_2,corrected,0.428216271,0.997912684,-0.794332691,0.183948344,165
UCLA_REST_BD_adj,rVisCent_ExStr_3,standard,0.390115286,0.997912684,0.861749064,0.178798984,165
UCLA_REST_BD_adj,rVisCent_ExStr_3,corrected,0.389128905,0.997912684,0.863623979,0.183948565,165
UCLA_REST_BD_adj,rVisPeri_ExStrInf_1,standard,0.394200175,0.997912684,-0.854328794,0.178798961,165
UCLA_REST_BD_adj,rVisPeri_ExStrInf_1,corrected,0.455938956,0.997912684,-0.747425814,0.183948205,165
UCLA_REST_BD_adj,rVisPeri_ExStrSup_1,standard,0.459935493,0.997912684,0.740742144,0.178798643,165
UCLA_REST_BD_adj,rVisPeri_ExStrSup_1,corrected,0.387245921,0.997912684,0.867066422,0.183948576,165
UCLA_REST_BD_adj,rVisPeri_StriCal_1,standard,0.196810161,0.997912684,-1.296092222,0.178800626,165
UCLA_REST_BD_adj,rVisPeri_StriCal_1,corrected,0.204888545,0.997912684,-1.273100342,0.183950246,165
